,Δ len_01_norm_unicode,Δ len_02_dehyphen,Δ len_03_strip_summary,Δ len_04_smart_join,Δ len_05_cut_from_od,Δ len_06_norm_orden_dia,Δ len_07_strip_roster_stage,Δ len_08_strip_procedural,Δ len_09_postfix,Δ len_10_after_legal_cut,Δ len_11_final,Δ n_legal_blocks,Δ ratio_after_legal,Δ ratio_after_procedural,Δ ratio_after_summary
run_label,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev
file_name,,,,,,,,,,,,,,,
47_2012-05-16_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-05-17_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-06-05_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-06-06_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-06-11_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-06-12_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-06-13_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-06-13_crr_3645.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-07-03_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-07-04_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-07-10_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-07-11_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-07-13_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-07-16_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-07-31_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-07-31_crr_3653.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-08-07_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-08-08_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-08-08_crr_3672.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-08-14_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-08-15_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-08-16_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-08-16_crr_3679.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-08-23_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-09-04_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-09-04_crr_3676.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-09-05_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-09-11_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-09-12_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-09-18_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-09-18_crr_3689.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-09-25_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-09-26_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-10-02_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-10-03_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-10-09_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-10-10_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-10-16_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-10-16_crr_3721.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-10-17_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-10-23_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-11-06_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-11-07_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-11-07_crr_3728.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-11-13_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-11-14_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-11-20_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-11-21_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-11-27_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-12-04_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-12-05_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-12-05_crr_3756.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-12-10_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-12-11_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-12-12_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-12-12_crr_4028.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-12-18_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-12-19_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-12-20_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2012-12-27_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-03-01_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-03-05_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-03-06_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-03-06_crr_3773.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-03-12_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-03-13_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-04-02_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-04-03_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-04-03_crr_3783.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-04-09_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-04-10_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-04-16_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-04-17_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-05-07_crr.txt,0,0,-13,-6,-6,-6,10835,10835,10835,57074,57074,-7,0.8204222853087296,0.0,0.0
47_2013-05-08_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-05-14_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-05-15_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-05-15_crr_3805.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-05-21_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-06-04_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-06-05_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-06-05_crr_3815.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-06-11_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-06-12_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-06-18_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-06-27_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-07-02_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-07-03_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-07-03_crr_3839.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-07-08_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-07-09_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-07-10_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-07-24_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-07-30_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-07-31_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-08-01_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-08-08_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-08-13_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-08-14_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-08-15_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-08-20_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-09-03_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-09-04_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-09-10_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-09-11_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-09-17_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-09-18_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-10-01_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-10-02_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-10-08_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-10-08_crr_3876.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-10-09_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-10-15_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-10-16_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-10-16_crr_3887.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-10-22_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-10-23_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-11-05_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-11-06_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-11-08_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-11-12_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-11-13_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-12-03_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-12-04_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-12-10_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-12-11_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-12-11_crr_5273.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-12-18_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2013-12-27_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-02-10_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-02-28_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-03-01_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-03-11_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-03-12_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-03-18_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-03-19_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-04-01_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-04-02_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-04-08_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-04-09_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-05-06_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-05-07_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-05-13_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-06-03_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-06-04_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-06-10_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-06-11_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-06-18_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-07-01_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-07-02_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-07-08_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-07-09_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-07-15_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-07-16_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-08-05_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-08-06_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-08-12_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-08-13_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-09-01_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-09-02_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-09-03_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-09-09_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-09-10_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-09-10_crr_5369.txt,0,0,-38,-33,-33,-33,3874,4025,4088,19585,19585,-3,0.7403850747694807,0.007141168124852215,0.0
47_2014-09-15_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-09-16_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-11-12_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-12-10_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-12-17_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-12-22_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-12-29_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-12-29_crr_6883.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2015-02-09_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2015-02-10_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2015-02-13_crr.txt,0,0,-1568,-92,-92,-92,-92,-92,-92,-92,-93,0,0.0,0.0,0.0
48_2016-11-17_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
48_2016-11-24_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
48_2016-12-06_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
48_2016-12-07_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
48_2016-12-07_crr_5697.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
48_2016-12-13_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
48_2016-12-14_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
